Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5020

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     2 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed 77 | gen   12 (1.5K grids scored in 25.6 m) | maps{1} | new champion: max wsl 11, nw 14, score 157
seed 162 | gen   50 (6.1K grids scored in 50.1 m) | maps{1} | new champion: max wsl 11, nw 13, score 162
seed 87 | gen   11 (1.0K grids scored in 38.7 m) | maps{1} | new champion: max wsl 9, nw 13, score 165
seed 187 | gen   20 (1.9K grids scored in 10.7 m) | maps{1} | new champion: max wsl 10, nw 13, score 150
seed 142 | gen   91 (10.6K grids scored in 37.1 m) | maps{1} | new champion: max wsl 9, nw 11, score 146
seed 67 | gen   36 (4.5K grids scored in 49.5 m) | maps{1} | new champion: max wsl 10, nw 13, score 155
seed 192 | gen   12 (1.4K grids scored in 22.9 m) | maps{1} | new champion: max wsl 9, nw 14, score 151
seed 97 | gen   19 (1.5K grids scored in 47.3 m) | maps{1} | new champion: max wsl 10, nw 15, score 160
seed 142 | gen   92 (10.7K grids scored in 38.3 m) | maps{1} | new champion: max wsl 9, nw 11, score 160
seed 122 | gen   14 (1.9K grids scored in 47.2 m) | maps{1} | new champion: max wsl 9, nw 13, score 167
seed 47 | gen    8 (215 grids scored in 32.6 m) | maps{1} | new champion: max wsl 9, nw 13, score 143
seed 187 | gen   21 (2.1K grids scored in 13.4 m) | maps{1} | new champion: max wsl 10, nw 13, score 152
seed 142 | gen   93 (10.9K grids scored in 39.9 m) | maps{1} | new champion: max wsl 8, nw 12, score 161
seed 67 | gen   37 (4.7K grids scored in 52.8 m) | maps{1} | new champion: max wsl 8, nw 14, score 156
seed 192 | gen   13 (1.5K grids scored in 26.6 m) | maps{1} | new champion: max wsl 8, nw 14, score 153
seed 162 | gen   52 (6.4K grids scored in 56.0 m) | maps{1} | new champion: max wsl 9, nw 13, score 163
seed 157 | gen   21 (3.0K grids scored in 41.8 m) | maps{1} | new champion: max wsl 9, nw 12, score 165
seed 167 | gen  111 (14.9K grids scored in 56.3 m) | maps{1} | new champion: max wsl 9, nw 18, score 128
seed 187 | gen   22 (2.2K grids scored in 16.3 m) | maps{1} | new champion: max wsl 10, nw 13, score 155
seed 142 | gen   95 (11.2K grids scored in 43.9 m) | maps{1} | new champion: max wsl 9, nw 11, score 164
seed 167 | gen  112 (15.0K grids scored in 58.0 m) | maps{1} | new champion: max wsl 9, nw 18, score 144
seed 162 | gen   53 (6.5K grids scored in 58.8 m) | maps{1} | new champion: max wsl 9, nw 12, score 165
seed 107 | gen   11 (1.4K grids scored in 58.8 m) | maps{1} | new champion: max wsl 10, nw 14, score 160
seed 62 | gen   13 (1.4K grids scored in 59.2 m) | maps{1} | new champion: max wsl 11, nw 17, score 144
seed 187 | gen   23 (2.4K grids scored in 20.6 m) | maps{1} | new champion: max wsl 9, nw 13, score 159
seed 107 | gen   12 (1.6K grids scored in 1.1 h) | maps{1} | new champion: max wsl 9, nw 15, score 161
seed 167 | gen  114 (15.4K grids scored in 1.1 h) | maps{1} | new champion: max wsl 9, nw 18, score 149
seed 117 | gen   29 (4.1K grids scored in 1.0 h) | maps{1} | new champion: max wsl 11, nw 14, score 162
seed 52 | gen   20 (2.1K grids scored in 43.9 m) | maps{1} | new champion: max wsl 9, nw 14, score 166
seed 167 | gen  115 (15.6K grids scored in 1.1 h) | maps{1} | new champion: max wsl 9, nw 17, score 151
seed 152 | gen   32 (4.3K grids scored in 57.4 m) | maps{1} | new champion: max wsl 10, nw 15, score 178
seed 167 | gen  116 (15.7K grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 17, score 158
seed 167 | gen  117 (15.9K grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 17, score 162
seed 167 | gen  118 (16.1K grids scored in 1.3 h) | maps{1} | new champion: max wsl 8, nw 17, score 166
seed 112 | gen   11 (1.6K grids scored in 1.1 h) | maps{1} | new champion: max wsl 10, nw 12, score 156
seed 107 | gen   14 (1.9K grids scored in 1.3 h) | maps{1} | new champion: max wsl 9, nw 14, score 166
seed 167 | gen  119 (16.2K grids scored in 1.3 h) | maps{1} | new champion: max wsl 8, nw 16, score 170
seed 142 | gen  103 (12.3K grids scored in 1.1 h) | maps{1} | new champion: max wsl 8, nw 12, score 166
seed 57 | gen   19 (2.5K grids scored in 1.1 h) | maps{1} | new champion: max wsl 9, nw 14, score 178
seed 92 | gen   19 (2.4K grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 11, score 159
seed 157 | gen   26 (3.9K grids scored in 1.1 h) | maps{1} | new champion: max wsl 10, nw 13, score 168
seed 152 | gen   39 (5.4K grids scored in 1.3 h) | maps{1} | new champion: max wsl 10, nw 14, score 182
seed 177 | gen   23 (2.1K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 14, score 164
seed 62 | gen   15 (1.8K grids scored in 1.6 h) | maps{1} | new champion: max wsl 11, nw 18, score 146
seed 97 | gen   23 (2.0K grids scored in 1.6 h) | maps{1} | new champion: max wsl 10, nw 15, score 162
seed 87 | gen   15 (1.7K grids scored in 1.4 h) | maps{1} | new champion: max wsl 9, nw 13, score 170
seed 62 | gen   16 (2.0K grids scored in 1.7 h) | maps{1} | new champion: max wsl 12, nw 17, score 147
seed 177 | gen   26 (2.6K grids scored in 1.6 h) | maps{1} | new champion: max wsl 9, nw 13, score 165
seed 67 | gen   43 (5.6K grids scored in 1.8 h) | maps{1} | new champion: max wsl 8, nw 12, score 159
seed 72 | gen   43 (6.9K grids scored in 1.9 h) | maps{1} | new champion: max wsl 8, nw 11, score 163
seed 112 | gen   16 (2.6K grids scored in 1.8 h) | maps{1} | new champion: max wsl 10, nw 13, score 157
seed 47 | gen   11 (513 grids scored in 1.6 h) | maps{1} | new champion: max wsl 8, nw 14, score 148
seed 142 | gen  116 (14.2K grids scored in 1.9 h) | maps{1} | new champion: max wsl 8, nw 12, score 168
seed 67 | gen   46 (6.1K grids scored in 2.1 h) | maps{1} | new champion: max wsl 8, nw 12, score 161
seed 97 | gen   26 (2.5K grids scored in 2.1 h) | maps{1} | new champion: max wsl 10, nw 13, score 163
seed 152 | gen   51 (7.3K grids scored in 2.0 h) | maps{1} | new champion: max wsl 10, nw 13, score 184
seed 97 | gen   27 (2.6K grids scored in 2.2 h) | maps{1} | new champion: max wsl 10, nw 14, score 166
seed 117 | gen   42 (6.4K grids scored in 2.1 h) | maps{1} | new champion: max wsl 9, nw 15, score 164
seed 152 | gen   52 (7.5K grids scored in 2.1 h) | maps{1} | new champion: max wsl 10, nw 13, score 185
seed 37 | gen   19 (2.8K grids scored in 1.9 h) | maps{1} | new champion: max wsl 9, nw 14, score 163
seed 67 | gen   48 (6.4K grids scored in 2.3 h) | maps{1} | new champion: max wsl 8, nw 11, score 162
seed 62 | gen   18 (2.4K grids scored in 2.3 h) | maps{1} | new champion: max wsl 12, nw 18, score 152
seed 97 | gen   28 (2.8K grids scored in 2.2 h) | maps{1} | new champion: max wsl 10, nw 15, score 167
seed 147 | gen   28 (4.0K grids scored in 2.1 h) | maps{1} | new champion: max wsl 9, nw 14, score 167
seed 167 | gen  126 (17.4K grids scored in 2.3 h) | maps{1} | new champion: max wsl 8, nw 15, score 172
seed 147 | gen   30 (4.3K grids scored in 2.3 h) | maps{1} | new champion: max wsl 9, nw 14, score 169
seed 187 | gen   27 (3.0K grids scored in 1.9 h) | maps{1} | new champion: max wsl 9, nw 13, score 162
seed 47 | gen   13 (819 grids scored in 2.2 h) | maps{1} | new champion: max wsl 8, nw 15, score 149
seed 97 | gen   30 (3.1K grids scored in 2.5 h) | maps{1} | new champion: max wsl 10, nw 14, score 170
seed 192 | gen   20 (2.6K grids scored in 2.2 h) | maps{1} | new champion: max wsl 9, nw 14, score 154
seed 147 | gen   32 (4.7K grids scored in 2.5 h) | maps{1} | new champion: max wsl 9, nw 13, score 170
seed 47 | gen   14 (979 grids scored in 2.3 h) | maps{1} | new champion: max wsl 8, nw 15, score 151
seed 147 | gen   33 (4.8K grids scored in 2.5 h) | maps{1} | new champion: max wsl 9, nw 13, score 172
seed 122 | gen   23 (3.5K grids scored in 2.7 h) | maps{1} | new champion: max wsl 9, nw 14, score 168
seed 47 | gen   15 (1.2K grids scored in 2.5 h) | maps{1} | new champion: max wsl 10, nw 16, score 154
seed 47 | gen   16 (1.3K grids scored in 2.6 h) | maps{1} | new champion: max wsl 10, nw 16, score 155
seed 117 | gen   51 (8.1K grids scored in 2.9 h) | maps{1} | new champion: max wsl 9, nw 15, score 165
seed 47 | gen   17 (1.5K grids scored in 2.7 h) | maps{1} | new champion: max wsl 10, nw 15, score 161
seed 47 | gen   18 (1.7K grids scored in 2.8 h) | maps{1} | new champion: max wsl 10, nw 14, score 167
seed 92 | gen   29 (4.2K grids scored in 3.0 h) | maps{1} | new champion: max wsl 11, nw 14, score 160
seed 137 | gen   38 (6.4K grids scored in 3.1 h) | maps{1} | new champion: max wsl 9, nw 12, score 154
seed 142 | gen  137 (17.4K grids scored in 3.1 h) | maps{1} | new champion: max wsl 8, nw 12, score 169
seed 77 | gen   23 (3.5K grids scored in 3.1 h) | maps{1} | new champion: max wsl 8, nw 12, score 158
seed 92 | gen   33 (5.0K grids scored in 3.4 h) | maps{1} | new champion: max wsl 9, nw 11, score 162
seed 112 | gen   27 (4.7K grids scored in 3.5 h) | maps{1} | new champion: max wsl 8, nw 13, score 158
seed 107 | gen   22 (3.4K grids scored in 3.6 h) | maps{1} | new champion: max wsl 9, nw 14, score 167
seed 132 | gen  395 (56.2K grids scored in 3.7 h) | maps{1} | new champion: max wsl 13, nw 12, score 130
seed 132 | gen  396 (56.4K grids scored in 3.7 h) | maps{1} | new champion: max wsl 11, nw 14, score 143
seed 132 | gen  397 (56.5K grids scored in 3.7 h) | maps{1} | new champion: max wsl 11, nw 14, score 146
seed 47 | gen   21 (2.1K grids scored in 3.5 h) | maps{1} | new champion: max wsl 10, nw 13, score 168
seed 137 | gen   47 (8.0K grids scored in 3.8 h) | maps{1} | new champion: max wsl 9, nw 12, score 156
seed 92 | gen   36 (5.5K grids scored in 3.7 h) | maps{1} | new champion: max wsl 9, nw 11, score 163
seed 157 | gen   45 (7.4K grids scored in 3.7 h) | maps{1} | new champion: max wsl 8, nw 12, score 170
seed 117 | gen   63 (10.3K grids scored in 3.9 h) | maps{1} | new champion: max wsl 9, nw 15, score 166
seed 132 | gen  404 (57.7K grids scored in 3.9 h) | maps{1} | new champion: max wsl 11, nw 15, score 148
seed 132 | gen  406 (58.0K grids scored in 3.9 h) | maps{1} | new champion: max wsl 11, nw 15, score 150
seed 71 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 70
seed 71 | gen    6 (72 grids scored in 21.0 s) | maps{1} | new champion: max wsl 13, nw 15, score 107
seed 71 | gen    7 (167 grids scored in 1.1 m) | maps{1} | new champion: max wsl 13, nw 15, score 122
seed 132 | gen  407 (58.2K grids scored in 3.9 h) | maps{1} | new champion: max wsl 11, nw 14, score 152
seed 126 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 66
seed 71 | gen    8 (284 grids scored in 2.5 m) | maps{1} | new champion: max wsl 11, nw 15, score 137
seed 166 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 68
seed 166 | gen    4 (241 grids scored in 1.2 m) | maps{1} | new champion: max wsl 12, nw 13, score 125
seed 126 | gen   10 (79 grids scored in 2.0 m) | maps{1} | new champion: max wsl 13, nw 16, score 111
seed 71 | gen    9 (410 grids scored in 4.4 m) | maps{1} | new champion: max wsl 9, nw 14, score 146
seed 136 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 9, score 73
seed 136 | gen    1 (2 grids scored in 4.1 s) | maps{1} | new champion: max wsl 9, nw 17, score 123
seed 166 | gen    5 (367 grids scored in 2.4 m) | maps{1} | new champion: max wsl 12, nw 15, score 133
seed 106 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 69
seed 136 | gen    2 (36 grids scored in 1.0 m) | maps{1} | new champion: max wsl 9, nw 14, score 134
seed 126 | gen   11 (179 grids scored in 3.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 125
seed 132 | gen  410 (58.8K grids scored in 4.0 h) | maps{1} | new champion: max wsl 9, nw 13, score 158
seed 71 | gen   10 (545 grids scored in 6.2 m) | maps{1} | new champion: max wsl 9, nw 14, score 150
seed 131 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 71
seed 131 | gen    3 (87 grids scored in 22.6 s) | maps{1} | new champion: max wsl 9, nw 12, score 144
seed 116 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed 131 | gen    4 (175 grids scored in 1.0 m) | maps{1} | new champion: max wsl 9, nw 13, score 148
seed 116 | gen    3 (158 grids scored in 42.2 s) | maps{1} | new champion: max wsl 13, nw 16, score 125
seed 166 | gen    6 (489 grids scored in 4.8 m) | maps{1} | new champion: max wsl 10, nw 13, score 145
seed 176 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 9, score 71
seed 116 | gen    4 (271 grids scored in 1.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 129
seed 176 | gen    2 (17 grids scored in 18.4 s) | maps{1} | new champion: max wsl 12, nw 15, score 119
seed 136 | gen    3 (127 grids scored in 3.6 m) | maps{1} | new champion: max wsl 9, nw 14, score 140
seed 131 | gen    5 (268 grids scored in 2.1 m) | maps{1} | new champion: max wsl 9, nw 13, score 151
seed 71 | gen   11 (702 grids scored in 8.5 m) | maps{1} | new champion: max wsl 9, nw 14, score 156
seed 116 | gen    5 (404 grids scored in 2.0 m) | maps{1} | new champion: max wsl 13, nw 15, score 131
seed 176 | gen    3 (89 grids scored in 1.5 m) | maps{1} | new champion: max wsl 10, nw 16, score 131
seed 92 | gen   39 (6.0K grids scored in 4.0 h) | maps{1} | new champion: max wsl 9, nw 11, score 165
seed 116 | gen    6 (543 grids scored in 2.7 m) | maps{1} | new champion: max wsl 13, nw 15, score 133
seed 126 | gen   12 (295 grids scored in 7.1 m) | maps{1} | new champion: max wsl 13, nw 17, score 132
seed 116 | gen    7 (671 grids scored in 3.5 m) | maps{1} | new champion: max wsl 13, nw 15, score 135
seed 166 | gen    7 (597 grids scored in 7.6 m) | maps{1} | new champion: max wsl 9, nw 12, score 151
seed 151 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 70
seed 151 | gen    1 (7 grids scored in 2.3 s) | maps{1} | new champion: max wsl 13, nw 15, score 114
seed 136 | gen    4 (250 grids scored in 6.2 m) | maps{1} | new champion: max wsl 9, nw 13, score 144
seed 176 | gen    4 (179 grids scored in 3.2 m) | maps{1} | new champion: max wsl 10, nw 15, score 140
seed 151 | gen    2 (77 grids scored in 27.3 s) | maps{1} | new champion: max wsl 13, nw 13, score 125
seed 111 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 9, score 73
seed 111 | gen    1 (4 grids scored in 2.0 s) | maps{1} | new champion: max wsl 13, nw 15, score 105
seed 131 | gen    7 (474 grids scored in 5.3 m) | maps{1} | new champion: max wsl 10, nw 14, score 155
seed 111 | gen    2 (53 grids scored in 22.5 s) | maps{1} | new champion: max wsl 12, nw 17, score 127
seed 151 | gen    3 (173 grids scored in 1.2 m) | maps{1} | new champion: max wsl 13, nw 13, score 130
seed 81 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 67
seed 141 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 68
seed 141 | gen    1 (4 grids scored in 3.8 s) | maps{1} | new champion: max wsl 13, nw 12, score 110
seed 111 | gen    3 (136 grids scored in 1.5 m) | maps{1} | new champion: max wsl 12, nw 17, score 132
seed 151 | gen    4 (292 grids scored in 2.2 m) | maps{1} | new champion: max wsl 13, nw 13, score 133
seed 156 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 70
seed 126 | gen   13 (447 grids scored in 11.1 m) | maps{1} | new champion: max wsl 13, nw 17, score 136
seed 166 | gen    8 (712 grids scored in 10.6 m) | maps{1} | new champion: max wsl 9, nw 12, score 155
seed 141 | gen    2 (47 grids scored in 1.4 m) | maps{1} | new champion: max wsl 9, nw 13, score 132
seed 176 | gen    5 (309 grids scored in 5.9 m) | maps{1} | new champion: max wsl 10, nw 14, score 143
seed 151 | gen    5 (426 grids scored in 3.4 m) | maps{1} | new champion: max wsl 13, nw 13, score 144
seed 136 | gen    5 (419 grids scored in 9.6 m) | maps{1} | new champion: max wsl 9, nw 14, score 150
seed 156 | gen    8 (350 grids scored in 1.4 m) | maps{1} | new champion: max wsl 13, nw 14, score 111
seed 66 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 71
seed 111 | gen    4 (253 grids scored in 3.6 m) | maps{1} | new champion: max wsl 11, nw 18, score 139
seed 66 | gen    3 (128 grids scored in 27.9 s) | maps{1} | new champion: max wsl 10, nw 15, score 77
seed 156 | gen    9 (439 grids scored in 2.1 m) | maps{1} | new champion: max wsl 13, nw 13, score 133
seed 81 | gen    8 (537 grids scored in 3.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 102
seed 131 | gen    9 (715 grids scored in 9.2 m) | maps{1} | new champion: max wsl 10, nw 13, score 159
seed 151 | gen    6 (577 grids scored in 4.9 m) | maps{1} | new champion: max wsl 13, nw 13, score 146
seed 66 | gen    4 (224 grids scored in 52.5 s) | maps{1} | new champion: max wsl 10, nw 15, score 119
seed 66 | gen    5 (326 grids scored in 1.4 m) | maps{1} | new champion: max wsl 8, nw 15, score 145
seed 121 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 67
seed 161 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 71
seed 116 | gen   14 (1.7K grids scored in 10.0 m) | maps{1} | new champion: max wsl 13, nw 15, score 137
seed 166 | gen    9 (842 grids scored in 13.9 m) | maps{1} | new champion: max wsl 9, nw 13, score 157
seed 66 | gen    6 (458 grids scored in 2.1 m) | maps{1} | new champion: max wsl 8, nw 14, score 148
seed 141 | gen    3 (129 grids scored in 4.8 m) | maps{1} | new champion: max wsl 9, nw 13, score 142
seed 81 | gen    9 (665 grids scored in 5.1 m) | maps{1} | new champion: max wsl 11, nw 16, score 120
seed 96 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 71
seed 151 | gen    7 (717 grids scored in 6.5 m) | maps{1} | new champion: max wsl 13, nw 13, score 149
seed 116 | gen   15 (1.9K grids scored in 10.9 m) | maps{1} | new champion: max wsl 13, nw 15, score 139
seed 156 | gen   10 (564 grids scored in 4.3 m) | maps{1} | new champion: max wsl 13, nw 12, score 144
seed 121 | gen    4 (224 grids scored in 1.3 m) | maps{1} | new champion: max wsl 13, nw 14, score 121
seed 136 | gen    6 (598 grids scored in 13.1 m) | maps{1} | new champion: max wsl 9, nw 14, score 153
seed 171 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 67
seed 111 | gen    5 (418 grids scored in 6.5 m) | maps{1} | new champion: max wsl 11, nw 18, score 144
seed 66 | gen    7 (581 grids scored in 3.1 m) | maps{1} | new champion: max wsl 8, nw 13, score 154
seed 71 | gen   14 (1.2K grids scored in 18.0 m) | maps{1} | new champion: max wsl 9, nw 14, score 162
seed 161 | gen    7 (496 grids scored in 1.9 m) | maps{1} | new champion: max wsl 13, nw 15, score 134
seed 116 | gen   16 (2.1K grids scored in 11.7 m) | maps{1} | new champion: max wsl 10, nw 15, score 146
seed 121 | gen    5 (356 grids scored in 2.6 m) | maps{1} | new champion: max wsl 9, nw 14, score 132
seed 151 | gen    8 (877 grids scored in 8.3 m) | maps{1} | new champion: max wsl 13, nw 14, score 155
seed 131 | gen   11 (952 grids scored in 12.9 m) | maps{1} | new champion: max wsl 13, nw 13, score 161
seed 161 | gen    8 (635 grids scored in 3.0 m) | maps{1} | new champion: max wsl 13, nw 14, score 143
seed 46 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 8, score 67
seed 116 | gen   17 (2.2K grids scored in 12.9 m) | maps{1} | new champion: max wsl 9, nw 13, score 152
seed 156 | gen   11 (684 grids scored in 6.5 m) | maps{1} | new champion: max wsl 13, nw 12, score 152
seed 171 | gen    7 (471 grids scored in 2.2 m) | maps{1} | new champion: max wsl 12, nw 13, score 115
seed 111 | gen    6 (562 grids scored in 8.6 m) | maps{1} | new champion: max wsl 11, nw 17, score 151
seed 81 | gen   10 (785 grids scored in 8.1 m) | maps{1} | new champion: max wsl 9, nw 15, score 137
seed 141 | gen    4 (239 grids scored in 8.0 m) | maps{1} | new champion: max wsl 9, nw 13, score 145
seed 46 | gen    4 (73 grids scored in 52.6 s) | maps{1} | new champion: max wsl 13, nw 15, score 111
seed 66 | gen    9 (875 grids scored in 6.1 m) | maps{1} | new champion: max wsl 8, nw 14, score 157
seed 161 | gen    9 (779 grids scored in 4.7 m) | maps{1} | new champion: max wsl 13, nw 13, score 150
seed 102 | gen   31 (4.7K grids scored in 4.3 h) | maps{1} | new champion: max wsl 9, nw 15, score 173
seed 136 | gen    7 (777 grids scored in 16.4 m) | maps{1} | new champion: max wsl 9, nw 14, score 154
seed 171 | gen    8 (630 grids scored in 3.4 m) | maps{1} | new champion: max wsl 12, nw 14, score 122
seed 121 | gen    6 (499 grids scored in 4.9 m) | maps{1} | new champion: max wsl 9, nw 14, score 143
seed 46 | gen    5 (175 grids scored in 2.3 m) | maps{1} | new champion: max wsl 12, nw 15, score 128
seed 116 | gen   19 (2.6K grids scored in 15.4 m) | maps{1} | new champion: max wsl 9, nw 13, score 155
seed 101 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 69
seed 101 | gen    2 (45 grids scored in 1.1 m) | maps{1} | new champion: max wsl 9, nw 13, score 134
seed 151 | gen   10 (1.2K grids scored in 11.5 m) | maps{1} | new champion: max wsl 9, nw 14, score 160
seed 66 | gen   10 (1.0K grids scored in 7.6 m) | maps{1} | new champion: max wsl 8, nw 14, score 162
seed 156 | gen   12 (826 grids scored in 9.3 m) | maps{1} | new champion: max wsl 13, nw 12, score 154
seed 56 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 70
seed 81 | gen   11 (899 grids scored in 10.9 m) | maps{1} | new champion: max wsl 9, nw 15, score 138
seed 161 | gen   10 (919 grids scored in 6.6 m) | maps{1} | new champion: max wsl 10, nw 14, score 163
seed 171 | gen    9 (750 grids scored in 5.1 m) | maps{1} | new champion: max wsl 12, nw 13, score 125
seed 56 | gen    3 (108 grids scored in 24.8 s) | maps{1} | new champion: max wsl 12, nw 12, score 118
seed 121 | gen    7 (665 grids scored in 7.0 m) | maps{1} | new champion: max wsl 9, nw 14, score 151
seed 46 | gen    6 (282 grids scored in 3.8 m) | maps{1} | new champion: max wsl 12, nw 15, score 133
seed 71 | gen   16 (1.4K grids scored in 23.3 m) | maps{1} | new champion: max wsl 13, nw 14, score 165
seed 56 | gen    4 (224 grids scored in 56.5 s) | maps{1} | new champion: max wsl 12, nw 11, score 124
seed 141 | gen    5 (355 grids scored in 11.4 m) | maps{1} | new champion: max wsl 13, nw 14, score 147
seed 66 | gen   11 (1.2K grids scored in 9.3 m) | maps{1} | new champion: max wsl 8, nw 13, score 165
seed 56 | gen    5 (374 grids scored in 2.0 m) | maps{1} | new champion: max wsl 12, nw 10, score 135
seed 136 | gen    8 (958 grids scored in 20.0 m) | maps{1} | new champion: max wsl 9, nw 15, score 156
seed 161 | gen   11 (1.1K grids scored in 8.4 m) | maps{1} | new champion: max wsl 9, nw 15, score 164
seed 101 | gen    3 (159 grids scored in 3.7 m) | maps{1} | new champion: max wsl 8, nw 13, score 146
seed 171 | gen   10 (907 grids scored in 7.7 m) | maps{1} | new champion: max wsl 10, nw 12, score 136
seed 156 | gen   13 (989 grids scored in 12.4 m) | maps{1} | new champion: max wsl 13, nw 12, score 155
seed 71 | gen   17 (1.6K grids scored in 26.1 m) | maps{1} | new champion: max wsl 13, nw 14, score 166
seed 81 | gen   12 (1.0K grids scored in 14.2 m) | maps{1} | new champion: max wsl 9, nw 14, score 143
seed 36 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 68
seed 46 | gen    8 (465 grids scored in 7.3 m) | maps{1} | new champion: max wsl 12, nw 16, score 142
seed 161 | gen   12 (1.2K grids scored in 10.5 m) | maps{1} | new champion: max wsl 10, nw 15, score 167
seed 146 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 72
seed 36 | gen    3 (89 grids scored in 25.4 s) | maps{1} | new champion: max wsl 8, nw 16, score 76
seed 36 | gen    4 (197 grids scored in 55.4 s) | maps{1} | new champion: max wsl 9, nw 16, score 77
seed 86 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 6, score 70
seed 141 | gen    6 (486 grids scored in 15.8 m) | maps{1} | new champion: max wsl 9, nw 13, score 152
seed 41 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 7, score 72
seed 181 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw 5, score 69
seed 66 | gen   13 (1.5K grids scored in 13.3 m) | maps{1} | new champion: max wsl 8, nw 13, score 167
seed 171 | gen   11 (1.1K grids scored in 10.4 m) | maps{1} | new champion: max wsl 10, nw 13, score 141
seed 71 | gen   18 (1.7K grids scored in 28.5 m) | maps{1} | new champion: max wsl 10, nw 14, score 168
seed 41 | gen    4 (137 grids scored in 42.9 s) | maps{1} | new champion: max wsl 11, nw 14, score 135
seed 56 | gen    7 (660 grids scored in 6.5 m) | maps{1} | new champion: max wsl 10, nw 13, score 140
seed 36 | gen    6 (515 grids scored in 2.6 m) | maps{1} | new champion: max wsl 9, nw 16, score 143
seed 156 | gen   14 (1.2K grids scored in 16.0 m) | maps{1} | new champion: max wsl 10, nw 14, score 157
seed 101 | gen    4 (325 grids scored in 8.2 m) | maps{1} | new champion: max wsl 8, nw 14, score 149
seed 41 | gen    5 (219 grids scored in 1.6 m) | maps{1} | new champion: max wsl 11, nw 14, score 142
seed 181 | gen    5 (358 grids scored in 1.7 m) | maps{1} | new champion: max wsl 12, nw 12, score 137
seed 131 | gen   16 (1.6K grids scored in 24.0 m) | maps{1} | new champion: max wsl 13, nw 14, score 162
seed 181 | gen    6 (489 grids scored in 2.4 m) | maps{1} | new champion: max wsl 12, nw 11, score 145
seed 86 | gen    8 (705 grids scored in 2.9 m) | maps{1} | new champion: max wsl 12, nw 14, score 128
seed 36 | gen    7 (681 grids scored in 4.4 m) | maps{1} | new champion: max wsl 8, nw 16, score 149
seed 171 | gen   12 (1.2K grids scored in 13.3 m) | maps{1} | new champion: max wsl 10, nw 13, score 143
