Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.57051

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   214 | Wombat(0,1.0 m,0.64) x  201 | MC estimate 107
seed    46 | Wombat(0,1.0 m,0.64) x   42 | MC estimate 113
seed   190 | Wombat(0,1.0 m,0.64) x   70 | MC estimate 148
seed   124 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 133
seed    63 | Wombat(0,1.0 m,0.64) x  205 | MC estimate  66
seed    75 | Wombat(0,1.0 m,0.64) x  200 | MC estimate  66
seed   207 | Wombat(0,1.0 m,0.64) x  207 | MC estimate  69
seed    87 | Wombat(0,1.0 m,0.64) x  201 | MC estimate  66
seed   100 | Wombat(0,1.0 m,0.64) x  204 | MC estimate  66
seed   160 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 116
seed   196 | Wombat(0,1.0 m,0.64) x   71 | MC estimate 133
seed    39 | Wombat(0,1.0 m,0.64) x  200 | MC estimate  66
seed    81 | Wombat(0,1.0 m,0.64) x  207 | MC estimate  66
seed   154 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 129
seed   220 | Wombat(0,1.0 m,0.64) x  202 | MC estimate 128
seed    51 | Wombat(0,1.0 m,0.64) x  201 | MC estimate  66
seed   178 | Wombat(0,1.0 m,0.64) x  216 | MC estimate  68
seed    33 | Wombat(0,1.0 m,0.64) x  208 | MC estimate  66
seed   147 | Wombat(0,1.0 m,0.64) x  211 | MC estimate  68
seed    70 | Wombat(0,1.0 m,0.64) x  102 | MC estimate  94
seed   165 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 140
seed    93 | Wombat(0,1.0 m,0.64) x   41 | MC estimate 110
seed   201 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  69
seed    57 | Wombat(0,1.0 m,0.64) x  209 | MC estimate  66
seed   136 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 122
seed   184 | Wombat(0,1.0 m,0.64) x   30 | MC estimate 124
seed   106 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 118
seed   141 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 114
seed   171 | Wombat(0,1.0 m,0.64) x   62 | MC estimate 136
seed   112 | Wombat(0,1.0 m,0.64) x   14 | MC estimate 133
seed   117 | Wombat(0,1.0 m,0.64) x  203 | MC estimate  66
seed   213 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  69
seed    45 | Wombat(0,1.0 m,0.64) x  210 | MC estimate  66
seed   123 | Wombat(0,1.0 m,0.64) x  186 | MC estimate 135
seed   248 | Wombat(0,1.0 m,0.64) x  220 | MC estimate 125
seed   260 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  69
seed   284 | Wombat(0,1.0 m,0.64) x  214 | MC estimate  70
seed   189 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 138
seed    99 | Wombat(0,1.0 m,0.64) x  211 | MC estimate  66
seed   305 | Wombat(0,1.0 m,0.64) x  208 | MC estimate 124
seed   230 | Wombat(0,1.0 m,0.64) x   20 | MC estimate 132
seed   159 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 134
seed   219 | Wombat(0,1.0 m,0.64) x  111 | MC estimate 130
seed   129 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 122
seed   293 | Wombat(0,1.0 m,0.64) x  214 | MC estimate 136
seed   275 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  70
seed    69 | Wombat(0,1.0 m,0.64) x  210 | MC estimate 136
seed   227 | Wombat(0,1.0 m,0.64) x  190 | MC estimate 141
seed   195 | Wombat(0,1.0 m,0.64) x   63 | MC estimate 145
seed   281 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  70
seed   254 | Wombat(0,1.0 m,0.64) x  135 | MC estimate 116
seed   135 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 125
seed   177 | Wombat(0,1.0 m,0.64) x   52 | MC estimate 117
seed   183 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 113
seed   153 | Wombat(0,1.0 m,0.64) x   91 | MC estimate 137
seed   314 | Wombat(0,1.0 m,0.64) x   45 | MC estimate 132
seed   105 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 102
seed   233 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  69
seed   278 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  70
