Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.53754

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Preserving jobs with IDs: 303 317 318 323 324 336 339 340 341 343 344 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to the parallel pool (number of workers: 32).
Loaded 1 seeds from grids/seeds/individual/blankSeed.mat
	we have a single blank seed, no need to run it through MC

	MCS total time 0.0 s + evolution total time 12.0 h = 12.0 h
	MCS runs 0 (1.0 m each) --> evolution runs 96 (4.0 h each)

seed  1 | gen   25 (58 grids scored in 12.9 m) | maps{1} | new champion: max wsl 12, nw 19, score 51
seed 29 | gen  186 (50 grids scored in 12.9 m) | maps{1} | new champion: max wsl 13, nw 21, score 89
seed  4 | gen  200 (44 grids scored in 13.0 m) | maps{1} | new champion: max wsl 13, nw 13, score 102
seed  5 | gen  146 (125 grids scored in 13.3 m) | maps{1} | new champion: max wsl 12, nw 19, score 74
seed 32 | gen  202 (53 grids scored in 13.4 m) | maps{1} | new champion: max wsl 13, nw 19, score 57
seed 30 | gen   12 (47 grids scored in 13.6 m) | maps{1} | new champion: max wsl 13, nw 18, score 82
seed 10 | gen  177 (77 grids scored in 13.7 m) | maps{1} | new champion: max wsl 13, nw 15, score 88
seed 26 | gen   93 (91 grids scored in 14.1 m) | maps{1} | new champion: max wsl 13, nw 19, score 75
seed 22 | gen   53 (64 grids scored in 14.3 m) | maps{1} | new champion: max wsl 11, nw 14, score 84
seed 27 | gen  137 (80 grids scored in 14.4 m) | maps{1} | new champion: max wsl 13, nw 18, score 71
seed 12 | gen   23 (70 grids scored in 14.6 m) | maps{1} | new champion: max wsl 12, nw 20, score 86
