Loaded 1 seeds from grids/seeds/individual/blankSeed.mat
	we have a single blank seed, no need to run it through MC

	MCS total time 0.0 s + evolution total time 12.0 h = 12.0 h
	MCS runs 0 (1.0 m each) --> evolution runs 48 (4.0 h each)

seed  5 | gen   48 (200 grids scored in 41.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 114
seed 11 | gen   70 (87 grids scored in 23.7 m) | maps{1} | new champion: max wsl 13, nw 13, score 76
seed  4 | gen   81 (183 grids scored in 40.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 89
seed 13 | gen   63 (304 grids scored in 1.2 h) | maps{1} | new champion: max wsl 13, nw 18, score 93
seed 16 | gen  292 (269 grids scored in 54.3 m) | maps{1} | new champion: max wsl 13, nw 17, score 81
seed 10 | gen   55 (110 grids scored in 1.0 h) | maps{1} | new champion: max wsl 12, nw 9, score 100
seed  8 | gen  251 (108 grids scored in 21.6 m) | maps{1} | new champion: max wsl 11, nw 16, score 95
seed 12 | gen   93 (313 grids scored in 1.1 h) | maps{1} | new champion: max wsl 13, nw 15, score 104
seed 15 | gen  225 (276 grids scored in 1.2 h) | maps{1} | new champion: max wsl 13, nw 20, score 85
seed 16 | gen  295 (409 grids scored in 1.4 h) | maps{1} | new champion: max wsl 13, nw 21, score 86
seed  6 | gen  411 (321 grids scored in 1.2 h) | maps{1} | new champion: max wsl 13, nw 17, score 103
seed  4 | gen   85 (317 grids scored in 1.3 h) | maps{1} | new champion: max wsl 13, nw 16, score 94
seed 13 | gen   65 (411 grids scored in 1.4 h) | maps{1} | new champion: max wsl 13, nw 17, score 109
seed 15 | gen  228 (391 grids scored in 1.6 h) | maps{1} | new champion: max wsl 13, nw 19, score 89
seed  6 | gen  414 (464 grids scored in 1.6 h) | maps{1} | new champion: max wsl 11, nw 19, score 104
seed  3 | gen   62 (422 grids scored in 1.1 h) | maps{1} | new champion: max wsl 11, nw 15, score 110
seed 14 | gen  380 (340 grids scored in 1.2 h) | maps{1} | new champion: max wsl 13, nw 17, score 103
seed  4 | gen   88 (417 grids scored in 1.7 h) | maps{1} | new champion: max wsl 13, nw 16, score 104
seed  2 | gen   53 (212 grids scored in 1.2 h) | maps{1} | new champion: max wsl 12, nw 18, score 79
seed 13 | gen   67 (553 grids scored in 1.8 h) | maps{1} | new champion: max wsl 10, nw 20, score 112
seed  7 | gen  511 (304 grids scored in 1.2 h) | maps{1} | new champion: max wsl 13, nw 20, score 74
seed  5 | gen   53 (289 grids scored in 1.3 h) | maps{1} | new champion: max wsl 13, nw 16, score 122
seed 16 | gen  297 (504 grids scored in 1.6 h) | maps{1} | new champion: max wsl 13, nw 20, score 90
seed 11 | gen   74 (255 grids scored in 1.3 h) | maps{1} | new champion: max wsl 11, nw 13, score 80
seed  8 | gen  255 (343 grids scored in 1.6 h) | maps{1} | new champion: max wsl 11, nw 17, score 106
seed  4 | gen   90 (505 grids scored in 1.9 h) | maps{1} | new champion: max wsl 13, nw 16, score 109
seed  6 | gen  416 (559 grids scored in 1.9 h) | maps{1} | new champion: max wsl 13, nw 20, score 118
seed 16 | gen  300 (671 grids scored in 2.2 h) | maps{1} | new champion: max wsl 12, nw 20, score 97
seed 13 | gen   69 (724 grids scored in 2.1 h) | maps{1} | new champion: max wsl 10, nw 17, score 122
seed  9 | gen  101 (476 grids scored in 1.2 h) | maps{1} | new champion: max wsl 13, nw 18, score 98
seed  3 | gen   65 (609 grids scored in 1.9 h) | maps{1} | new champion: max wsl 11, nw 17, score 113
seed 11 | gen   78 (440 grids scored in 2.3 h) | maps{1} | new champion: max wsl 13, nw 13, score 89
seed 14 | gen  383 (542 grids scored in 1.9 h) | maps{1} | new champion: max wsl 11, nw 17, score 123
seed 15 | gen  230 (482 grids scored in 1.8 h) | maps{1} | new champion: max wsl 13, nw 19, score 90
seed 11 | gen   80 (589 grids scored in 2.7 h) | maps{1} | new champion: max wsl 11, nw 21, score 99
seed 15 | gen  234 (676 grids scored in 2.8 h) | maps{1} | new champion: max wsl 13, nw 18, score 94
seed  1 | gen  333 (199 grids scored in 57.4 m) | maps{1} | new champion: max wsl 13, nw 13, score 114
seed 11 | gen   82 (761 grids scored in 3.1 h) | maps{1} | new champion: max wsl 11, nw 10, score 100
seed  2 | gen   56 (409 grids scored in 1.9 h) | maps{1} | new champion: max wsl 10, nw 15, score 85
seed  4 | gen   93 (639 grids scored in 2.4 h) | maps{1} | new champion: max wsl 13, nw 14, score 124
seed 16 | gen  302 (774 grids scored in 2.5 h) | maps{1} | new champion: max wsl 11, nw 18, score 108
seed  3 | gen   68 (816 grids scored in 2.6 h) | maps{1} | new champion: max wsl 11, nw 16, score 115
seed 19 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 10 | gen   59 (220 grids scored in 1.5 h) | maps{1} | new champion: max wsl 12, nw 11, score 104
seed 19 | gen  159 (1 grids scored in 4.9 m) | maps{1} | new champion: max wsl 13, nw 13, score 46
seed 10 | gen   65 (522 grids scored in 4.1 h) | maps{1} | new champion: max wsl 12, nw 11, score 117
seed  5 | gen   59 (422 grids scored in 2.2 h) | maps{1} | new champion: max wsl 13, nw 16, score 126
seed  1 | gen  343 (358 grids scored in 3.3 h) | maps{1} | new champion: max wsl 13, nw 13, score 116
seed 12 | gen   96 (452 grids scored in 1.6 h) | maps{1} | new champion: max wsl 11, nw 16, score 114
seed  4 | gen   97 (853 grids scored in 3.5 h) | maps{1} | new champion: max wsl 13, nw 16, score 125
seed  6 | gen  419 (728 grids scored in 2.5 h) | maps{1} | new champion: max wsl 13, nw 20, score 125
seed  9 | gen  105 (751 grids scored in 2.6 h) | maps{1} | new champion: max wsl 13, nw 16, score 107
seed 21 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 26 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 28 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed  8 | gen  258 (547 grids scored in 2.3 h) | maps{1} | new champion: max wsl 11, nw 16, score 110
seed 17 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 22 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 25 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 21 | gen  140 (1 grids scored in 4.3 m) | maps{1} | new champion: max wsl 13, nw 12, score 80
seed 20 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 26 | gen  420 (1 grids scored in 8.7 m) | maps{1} | new champion: max wsl 13, nw 17, score 40
seed 28 | gen   63 (1 grids scored in 3.4 m) | maps{1} | new champion: max wsl 13, nw 17, score 59
seed 17 | gen  118 (1 grids scored in 3.8 m) | maps{1} | new champion: max wsl 11, nw 17, score 66
seed 22 | gen   53 (1 grids scored in 3.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 47
seed 25 | gen  163 (1 grids scored in 4.3 m) | maps{1} | new champion: max wsl 13, nw 17, score 62
seed 16 | gen  306 (1.0K grids scored in 3.7 h) | maps{1} | new champion: max wsl 13, nw 18, score 109
seed 11 | gen   84 (926 grids scored in 3.4 h) | maps{1} | new champion: max wsl 11, nw 20, score 112
seed 11 | gen   87 (1.2K grids scored in 4.4 h) | maps{1} | new champion: max wsl 11, nw 21, score 113
seed 15 | gen  236 (804 grids scored in 3.1 h) | maps{1} | new champion: max wsl 13, nw 18, score 98
seed 19 | gen  161 (19 grids scored in 7.3 m) | maps{1} | new champion: max wsl 12, nw 12, score 55
seed 24 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 31 | gen    0 (0 grids scored in 0.0 s) | maps{1} | new champion: max wsl 13, nw -1, score 0
seed 26 | gen  422 (19 grids scored in 11.2 m) | maps{1} | new champion: max wsl 12, nw 18, score 48
