Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.7542

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   176 | Wombat(0,1.0 m,0.64) x  116 | MC estimate 106
seed   224 | Wombat(0,1.0 m,0.64) x  111 | MC estimate 116
seed    74 | Wombat(0,1.0 m,0.64) x   92 | MC estimate  96
seed   206 | Wombat(0,1.0 m,0.64) x   29 | MC estimate 142
seed   170 | Wombat(0,1.0 m,0.64) x  126 | MC estimate 122
seed   128 | Wombat(0,1.0 m,0.64) x  233 | MC estimate 135
seed   146 | Wombat(0,1.0 m,0.64) x   95 | MC estimate 123
seed   104 | Wombat(0,1.0 m,0.64) x   18 | MC estimate 134
seed   182 | Wombat(0,1.0 m,0.64) x   56 | MC estimate  99
seed   116 | Wombat(0,1.0 m,0.64) x   18 | MC estimate 123
seed   110 | Wombat(0,1.0 m,0.64) x   81 | MC estimate 114
seed   140 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 135
seed   122 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 126
seed   164 | Wombat(0,1.0 m,0.64) x  158 | MC estimate 144
seed    43 | Wombat(0,1.0 m,0.64) x  254 | MC estimate  66
seed    67 | Wombat(0,1.0 m,0.64) x  263 | MC estimate  66
seed    79 | Wombat(0,1.0 m,0.64) x  248 | MC estimate  66
seed    91 | Wombat(0,1.0 m,0.64) x  247 | MC estimate  66
seed   217 | Wombat(0,1.0 m,0.64) x  244 | MC estimate 107
seed    37 | Wombat(0,1.0 m,0.64) x  247 | MC estimate  66
seed   211 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  69
seed   133 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 144
seed   187 | Wombat(0,1.0 m,0.64) x  135 | MC estimate 123
seed    61 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  66
seed   199 | Wombat(0,1.0 m,0.64) x  246 | MC estimate  69
seed    85 | Wombat(0,1.0 m,0.64) x   26 | MC estimate  98
seed    55 | Wombat(0,1.0 m,0.64) x  240 | MC estimate  66
