Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.1404

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   117 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  66
seed   178 | Wombat(0,1.0 m,0.64) x   72 | MC estimate 130
seed   219 | Wombat(0,1.0 m,0.64) x  231 | MC estimate 118
seed   207 | Wombat(0,1.0 m,0.64) x  248 | MC estimate  69
seed   195 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 132
seed   166 | Wombat(0,1.0 m,0.64) x   60 | MC estimate 123
seed   123 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  66
seed    81 | Wombat(0,1.0 m,0.64) x  131 | MC estimate 128
seed   100 | Wombat(0,1.0 m,0.64) x  247 | MC estimate  66
seed   202 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 128
seed    69 | Wombat(0,1.0 m,0.64) x   52 | MC estimate 100
seed    33 | Wombat(0,1.0 m,0.64) x  225 | MC estimate 110
seed    45 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  66
seed    93 | Wombat(0,1.0 m,0.64) x  210 | MC estimate  96
seed   190 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 132
seed   154 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 129
seed   183 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 106
seed   213 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  69
seed   159 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 144
seed   111 | Wombat(0,1.0 m,0.64) x   48 | MC estimate 130
seed   135 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 104
seed   260 | Wombat(0,1.0 m,0.64) x  258 | MC estimate  69
seed   263 | Wombat(0,1.0 m,0.64) x  258 | MC estimate 119
seed   141 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 115
seed   254 | Wombat(0,1.0 m,0.64) x  264 | MC estimate  69
seed   227 | Wombat(0,1.0 m,0.64) x  248 | MC estimate  69
seed   236 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  69
seed   177 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 128
seed   281 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  70
seed   269 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 148
seed   317 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 118
seed   129 | Wombat(0,1.0 m,0.64) x   27 | MC estimate 142
seed   105 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 116
seed    57 | Wombat(0,1.0 m,0.64) x  200 | MC estimate  97
seed   308 | Wombat(0,1.0 m,0.64) x   75 | MC estimate 110
seed   299 | Wombat(0,1.0 m,0.64) x  247 | MC estimate  70
seed    99 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  66
seed   242 | Wombat(0,1.0 m,0.64) x  128 | MC estimate 116
seed   165 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 144
seed   201 | Wombat(0,1.0 m,0.64) x  218 | MC estimate 126
seed   311 | Wombat(0,1.0 m,0.64) x  161 | MC estimate 142
seed   287 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  70
seed   233 | Wombat(0,1.0 m,0.64) x  240 | MC estimate  69
seed   239 | Wombat(0,1.0 m,0.64) x  241 | MC estimate  69
seed   171 | Wombat(0,1.0 m,0.64) x  213 | MC estimate 122
seed   293 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  70
seed   189 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 106
seed   251 | Wombat(0,1.0 m,0.64) x    5 | MC estimate  97
seed   230 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 125
seed   272 | Wombat(0,1.0 m,0.64) x  211 | MC estimate  69
seed   259 | Wombat(0,1.0 m,0.64) x  229 | MC estimate 150
seed   262 | Wombat(0,1.0 m,0.64) x  241 | MC estimate  69
seed   153 | Wombat(0,1.0 m,0.64) x   91 | MC estimate 137
seed   235 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  69
seed   280 | Wombat(0,1.0 m,0.64) x  209 | MC estimate  70
seed   296 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  70
seed   266 | Wombat(0,1.0 m,0.64) x  144 | MC estimate 111
seed   226 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 138
seed   316 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  97
seed   290 | Wombat(0,1.0 m,0.64) x  207 | MC estimate 125
seed   248 | Wombat(0,1.0 m,0.64) x  106 | MC estimate 118
seed   245 | Wombat(0,1.0 m,0.64) x  209 | MC estimate 119
seed   305 | Wombat(0,1.0 m,0.64) x  126 | MC estimate 114
seed   298 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  78
seed   320 | Wombat(0,1.0 m,0.64) x  153 | MC estimate 119
seed   241 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  69
seed   257 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  69
seed   275 | Wombat(0,1.0 m,0.64) x  230 | MC estimate  70
seed   238 | Wombat(0,1.0 m,0.64) x  219 | MC estimate 140
seed   284 | Wombat(0,1.0 m,0.64) x  211 | MC estimate 130
seed   278 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  70
seed   286 | Wombat(0,1.0 m,0.64) x   31 | MC estimate 120
seed   271 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  69
seed   258 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  69
seed   253 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 130
seed   261 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  69
seed   229 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 134
seed   250 | Wombat(0,1.0 m,0.64) x  211 | MC estimate 117
seed   292 | Wombat(0,1.0 m,0.64) x   80 | MC estimate 113
seed   314 | Wombat(0,1.0 m,0.64) x  114 | MC estimate 148
seed   302 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  70
seed   234 | Wombat(0,1.0 m,0.64) x  217 | MC estimate 152
seed   279 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  70
seed   268 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 112
seed   295 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  70
seed   232 | Wombat(0,1.0 m,0.64) x  134 | MC estimate 132
seed   265 | Wombat(0,1.0 m,0.64) x   98 | MC estimate 130
seed   225 | Wombat(0,1.0 m,0.64) x  177 | MC estimate 135
seed   307 | Wombat(0,1.0 m,0.64) x  181 | MC estimate 114
seed   315 | Wombat(0,1.0 m,0.64) x   32 | MC estimate 129
seed   247 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 124
seed   304 | Wombat(0,1.0 m,0.64) x  247 | MC estimate  70
seed   297 | Wombat(0,1.0 m,0.64) x  238 | MC estimate 143
seed   240 | Wombat(0,1.0 m,0.64) x  253 | MC estimate  69
seed   310 | Wombat(0,1.0 m,0.64) x   98 | MC estimate 141
seed   244 | Wombat(0,1.0 m,0.64) x   57 | MC estimate 156
seed   256 | Wombat(0,1.0 m,0.64) x  255 | MC estimate  69
seed   274 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  70
seed   237 | Wombat(0,1.0 m,0.64) x  203 | MC estimate 131
seed   277 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  70
seed   283 | Wombat(0,1.0 m,0.64) x   32 | MC estimate 128
seed   319 | Wombat(0,1.0 m,0.64) x   47 | MC estimate 123
seed   252 | Wombat(0,1.0 m,0.64) x  258 | MC estimate  74
seed   289 | Wombat(0,1.0 m,0.64) x   53 | MC estimate 140
seed   249 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 121
seed   301 | Wombat(0,1.0 m,0.64) x  251 | MC estimate  70
seed   336 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  70
seed   294 | Wombat(0,1.0 m,0.64) x  246 | MC estimate  70
seed   338 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  70
seed   231 | Wombat(0,1.0 m,0.64) x  246 | MC estimate  69
seed   264 | Wombat(0,1.0 m,0.64) x  195 | MC estimate 128
seed   306 | Wombat(0,1.0 m,0.64) x  222 | MC estimate 125
seed   326 | Wombat(0,1.0 m,0.64) x   82 | MC estimate 111
seed   270 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 132
seed   334 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 130
seed   342 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 125
seed   313 | Wombat(0,1.0 m,0.64) x   63 | MC estimate 140
seed   303 | Wombat(0,1.0 m,0.64) x  256 | MC estimate  70
seed   267 | Wombat(0,1.0 m,0.64) x   30 | MC estimate 114
seed   243 | Wombat(0,1.0 m,0.64) x  205 | MC estimate 131
seed   273 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  70
seed   285 | Wombat(0,1.0 m,0.64) x  218 | MC estimate 116
seed   352 | Wombat(0,1.0 m,0.64) x  252 | MC estimate  71
seed   276 | Wombat(0,1.0 m,0.64) x  240 | MC estimate  70
seed   330 | Wombat(0,1.0 m,0.64) x   45 | MC estimate 134
seed   255 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 123
seed   322 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 125
seed   282 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  70
seed   291 | Wombat(0,1.0 m,0.64) x  163 | MC estimate 145
seed   318 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 112
seed   228 | Wombat(0,1.0 m,0.64) x  177 | MC estimate 144
seed   246 | Wombat(0,1.0 m,0.64) x  125 | MC estimate 123
seed   288 | Wombat(0,1.0 m,0.64) x  237 | MC estimate 112
seed   332 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 133
seed   358 | Wombat(0,1.0 m,0.64) x  259 | MC estimate  71
seed   300 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  70
seed   335 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  70
seed   309 | Wombat(0,1.0 m,0.64) x  149 | MC estimate 115
seed   350 | Wombat(0,1.0 m,0.64) x  261 | MC estimate  71
seed   360 | Wombat(0,1.0 m,0.64) x  255 | MC estimate  71
seed   340 | Wombat(0,1.0 m,0.64) x  234 | MC estimate 131
seed   362 | Wombat(0,1.0 m,0.64) x  258 | MC estimate  71
seed   366 | Wombat(0,1.0 m,0.64) x   38 | MC estimate 121
seed   341 | Wombat(0,1.0 m,0.64) x  162 | MC estimate 133
seed   325 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 139
seed   344 | Wombat(0,1.0 m,0.64) x  198 | MC estimate 144
seed   312 | Wombat(0,1.0 m,0.64) x  121 | MC estimate 146
seed   372 | Wombat(0,1.0 m,0.64) x  125 | MC estimate 125
seed   328 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 117
seed   337 | Wombat(0,1.0 m,0.64) x  100 | MC estimate 109
seed   346 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  71
seed   378 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  71
seed   348 | Wombat(0,1.0 m,0.64) x  251 | MC estimate  71
seed   351 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  71
seed   382 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  71
seed   376 | Wombat(0,1.0 m,0.64) x  251 | MC estimate  71
seed   329 | Wombat(0,1.0 m,0.64) x   54 | MC estimate 132
seed   333 | Wombat(0,1.0 m,0.64) x  107 | MC estimate 141
seed   354 | Wombat(0,1.0 m,0.64) x  253 | MC estimate  71
seed   321 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 127
seed   374 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 111
seed   356 | Wombat(0,1.0 m,0.64) x  248 | MC estimate  71
seed   380 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 139
seed   364 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  71
seed   368 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 117
seed   357 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  71
seed   384 | Wombat(0,1.0 m,0.64) x  242 | MC estimate  71
seed   324 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  70
seed   349 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  71
seed   331 | Wombat(0,1.0 m,0.64) x  251 | MC estimate 133
