Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.33664

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 932 seeds from grids/seeds/individual/y2013.mat
	scoring all of them using MC
	MCS total time 30.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 932 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   287 | Wombat(0,1.0 m,0.64) x   57 | MC estimate 142
seed   343 | Wombat(0,1.0 m,0.64) x  230 | MC estimate 122
seed   259 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 109
seed   273 | Wombat(0,1.0 m,0.64) x  222 | MC estimate 118
seed   454 | Wombat(0,1.0 m,0.64) x  223 | MC estimate 152
seed   483 | Wombat(0,1.0 m,0.64) x  178 | MC estimate 129
seed   468 | Wombat(0,1.0 m,0.64) x  236 | MC estimate 119
seed   496 | Wombat(0,1.0 m,0.64) x  207 | MC estimate  74
seed   510 | Wombat(0,1.0 m,0.64) x  253 | MC estimate  74
seed   132 | Wombat(0,1.0 m,0.64) x  238 | MC estimate 124
seed   188 | Wombat(0,1.0 m,0.64) x  269 | MC estimate  72
seed   175 | Wombat(0,1.0 m,0.64) x  153 | MC estimate 136
seed   245 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 132
seed   398 | Wombat(0,1.0 m,0.64) x  199 | MC estimate 123
seed   105 | Wombat(0,1.0 m,0.64) x  135 | MC estimate 113
seed   160 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 122
seed   202 | Wombat(0,1.0 m,0.64) x  250 | MC estimate  72
seed   146 | Wombat(0,1.0 m,0.64) x   52 | MC estimate 115
seed   314 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 119
seed   370 | Wombat(0,1.0 m,0.64) x    8 | MC estimate 119
seed   300 | Wombat(0,1.0 m,0.64) x  107 | MC estimate 130
seed   216 | Wombat(0,1.0 m,0.64) x  126 | MC estimate 133
seed   412 | Wombat(0,1.0 m,0.64) x  201 | MC estimate  74
seed   230 | Wombat(0,1.0 m,0.64) x  101 | MC estimate 151
seed   118 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 144
seed   357 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  74
seed   426 | Wombat(0,1.0 m,0.64) x  197 | MC estimate  74
seed   440 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 131
seed   329 | Wombat(0,1.0 m,0.64) x  183 | MC estimate 127
seed    76 | Wombat(0,1.0 m,0.64) x  184 | MC estimate 139
seed   384 | Wombat(0,1.0 m,0.64) x  184 | MC estimate  74
seed   286 | Wombat(0,1.0 m,0.64) x   50 | MC estimate 142
seed   342 | Wombat(0,1.0 m,0.64) x  213 | MC estimate  73
seed   258 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 123
seed    90 | Wombat(0,1.0 m,0.64) x  129 | MC estimate 145
seed   453 | Wombat(0,1.0 m,0.64) x  212 | MC estimate  74
seed   482 | Wombat(0,1.0 m,0.64) x  199 | MC estimate  74
seed   467 | Wombat(0,1.0 m,0.64) x  199 | MC estimate  74
seed   495 | Wombat(0,1.0 m,0.64) x  128 | MC estimate 129
seed   131 | Wombat(0,1.0 m,0.64) x   77 | MC estimate 135
seed   397 | Wombat(0,1.0 m,0.64) x  216 | MC estimate  74
seed   187 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 116
seed   201 | Wombat(0,1.0 m,0.64) x  170 | MC estimate  72
seed   272 | Wombat(0,1.0 m,0.64) x   60 | MC estimate 124
seed   104 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 120
seed   244 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 120
seed   369 | Wombat(0,1.0 m,0.64) x   33 | MC estimate 133
seed   356 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  74
seed   159 | Wombat(0,1.0 m,0.64) x   55 | MC estimate 114
seed   509 | Wombat(0,1.0 m,0.64) x   32 | MC estimate 126
seed   425 | Wombat(0,1.0 m,0.64) x  199 | MC estimate  74
seed   411 | Wombat(0,1.0 m,0.64) x   25 | MC estimate 142
seed   439 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 125
seed   328 | Wombat(0,1.0 m,0.64) x  140 | MC estimate 122
seed   174 | Wombat(0,1.0 m,0.64) x   88 | MC estimate 134
seed    75 | Wombat(0,1.0 m,0.64) x  217 | MC estimate  72
seed   313 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 139
seed   145 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 149
seed   215 | Wombat(0,1.0 m,0.64) x   60 | MC estimate 137
seed   299 | Wombat(0,1.0 m,0.64) x   66 | MC estimate 145
seed   257 | Wombat(0,1.0 m,0.64) x  209 | MC estimate 124
seed    89 | Wombat(0,1.0 m,0.64) x  200 | MC estimate  72
seed   481 | Wombat(0,1.0 m,0.64) x  208 | MC estimate  74
seed   285 | Wombat(0,1.0 m,0.64) x   38 | MC estimate 124
seed   466 | Wombat(0,1.0 m,0.64) x  196 | MC estimate  74
seed   494 | Wombat(0,1.0 m,0.64) x  164 | MC estimate  74
seed   383 | Wombat(0,1.0 m,0.64) x   48 | MC estimate 127
seed   117 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 134
seed   229 | Wombat(0,1.0 m,0.64) x  102 | MC estimate 125
seed   452 | Wombat(0,1.0 m,0.64) x   20 | MC estimate 133
seed   396 | Wombat(0,1.0 m,0.64) x  207 | MC estimate 128
seed   186 | Wombat(0,1.0 m,0.64) x   53 | MC estimate 141
seed   271 | Wombat(0,1.0 m,0.64) x  190 | MC estimate 152
seed   103 | Wombat(0,1.0 m,0.64) x   70 | MC estimate 135
seed   368 | Wombat(0,1.0 m,0.64) x  138 | MC estimate 116
